graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.2,mean,0.1208467294395676,16,0.0,0.1208467294395676,0.1208467294395676,gsmooth,0.1288164554657387,16,0.0,0.007969726026171,2.9225329082331762e-08,6.283445752701328e-06,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.4,mean,0.2610509096263227,15,0.0,0.2610509096263227,0.2610509096263227,wavelet_temporal,0.2694260729403783,15,0.0,0.0083751633140555,8.265685662204697e-08,1.6283400754543252e-05,True,1.0
gaussian__sigma1,synthetic_alpha,0.1,mean,0.0589478976695531,18,7.140062921844417e-18,0.0589478976695531,0.0589478976695531,tv,0.059098369181251,18,7.140062921844417e-18,0.0001504715116979,3.683348423440707e-09,9.68720635364906e-07,True,1.0
gaussian__sigma1,synthetic_alpha,0.4,mean,0.2610509096263227,17,0.0,0.2610509096263227,0.2610509096263227,gsmooth,0.2625194559971324,17,0.0,0.0014685463708096,1.036256682624278e-08,2.435203204167053e-06,True,1.0
kalofolias,synthetic_alpha,0.1,mean,0.0589478976695531,18,7.140062921844417e-18,0.0589478976695531,0.0589478976695531,tv,0.0589863905543037,18,7.140062921844417e-18,3.849288475051699e-05,3.683348423440707e-09,9.57670590094584e-07,True,1.0
kalofolias,synthetic_alpha,0.2,mean,0.1208467294395675,18,1.4280125843688834e-17,0.1208467294395675,0.1208467294395675,tv,0.1208611431336948,18,1.4280125843688834e-17,1.4413694127218823e-05,3.683348423440707e-09,9.53987241671143e-07,True,1.0
kalofolias,synthetic_alpha,0.4,mean,0.2610509096263227,17,0.0,0.2610509096263227,0.2610509096263227,tv,0.2611247552964125,17,0.0,7.384567008977827e-05,1.036256682624278e-08,2.393752936862082e-06,True,1.0
knn__k3,synthetic_alpha,0.1,mean,0.0562322956801807,20,0.0121445412961408,0.0508010917014359,0.0589478976695532,idw,0.0596938324875637,20,0.012925688902981,0.0034615368073829,3.6533096441239465e-08,7.343152384689131e-06,True,0.905
knn__k3,synthetic_alpha,0.2,mean,0.1151428799926366,20,0.0255083901935245,0.1037351810987746,0.1208467294395676,gsmooth,0.1223792852944804,20,0.0273499245916224,0.0072364053018438,4.3423339118436015e-08,8.684667823687203e-06,True,0.9
knn__k5,synthetic_alpha,0.1,mean,0.0589478976695532,19,0.0,0.0589478976695532,0.0589478976695532,tv,0.0612990105774968,19,1.4258071582120596e-17,0.0023511129079436,1.3120632979510227e-09,3.555691537447272e-07,True,1.0
knn__k5,synthetic_alpha,0.2,mean,0.1208467294395676,19,0.0,0.1208467294395676,0.1208467294395676,tv,0.1215400083518392,19,0.0,0.0006932789122715,1.3120632979510227e-09,3.542570904467762e-07,True,1.0
knn__k5,synthetic_alpha,0.4,mean,0.2610509096263227,18,0.0,0.2610509096263227,0.2610509096263227,tv,0.2616216626341461,18,5.712050337475532e-17,0.0005707530078234,3.683348423440707e-09,9.318871511304988e-07,True,1.0
knng__k4_sigma1,synthetic_alpha,0.1,mean,0.0589478976695531,17,7.152448122690996e-18,0.0589478976695531,0.0589478976695531,idw,0.0625841043918718,17,0.0,0.0036362067223186,1.036256682624278e-08,2.383390370035839e-06,True,1.0
