method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
sobolev,0.2,snr,0.7111,0.039,0.7035,0.6142,0.808,3
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5886,0.009,0.5859,0.5663,0.6109,3
sobolev,0.3,rmse,0.6633,0.0067,0.6603,0.6467,0.6799,3
sobolev,0.3,snr,0.6564,0.0892,0.6767,0.4349,0.8779,3
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.5945,0.0068,0.5944,0.5776,0.6114,3
sobolev,0.4,rmse,0.6693,0.0063,0.6682,0.6535,0.685,3
sobolev,0.4,snr,0.5672,0.0593,0.5565,0.4199,0.7144,3
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.0954,0.0136,0.09,0.0615,0.1293,3
spherical_spline,0.1,rmse,0.3474,0.0681,0.3618,0.1782,0.5166,3
spherical_spline,0.1,snr,-2.8696,2.0788,-3.4652,-8.0336,2.2944,3
spherical_spline,0.1,dtw,,,,,,0
spherical_spline,0.2,mae,0.1939,0.06,0.2204,0.0449,0.3429,3
spherical_spline,0.2,rmse,0.5061,0.1569,0.5707,0.1163,0.8959,3
spherical_spline,0.2,snr,-3.5775,2.6812,-4.8242,-10.2379,3.0829,3
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.2823,0.0716,0.3057,0.1044,0.4601,3
spherical_spline,0.3,rmse,0.618,0.1797,0.6772,0.1716,1.0644,3
spherical_spline,0.3,snr,-3.1627,2.4181,-4.1537,-9.1697,2.8443,3
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.3873,0.1296,0.4485,0.0654,0.7093,3
spherical_spline,0.4,rmse,0.7433,0.2595,0.8509,0.0986,1.388,3
spherical_spline,0.4,snr,-3.4995,2.8055,-5.0001,-10.4687,3.4697,3
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.3057,0.1885,0.3637,-0.1625,0.7739,3
spline_surface,0.1,rmse,1.2707,0.8133,1.7384,-0.7496,3.291,3
spline_surface,0.1,snr,-10.7938,7.6667,-12.9993,-29.839,8.2514,3
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.1884,0.0352,0.2058,0.1009,0.276,3
spline_surface,0.2,rmse,0.5113,0.0884,0.5421,0.2916,0.7309,3
spline_surface,0.2,snr,-3.8505,1.2118,-4.3736,-6.8608,-0.8402,3
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.282,0.0416,0.2678,0.1787,0.3853,3
spline_surface,0.3,rmse,0.609,0.091,0.5769,0.383,0.8349,3
spline_surface,0.3,snr,-3.3117,0.7399,-3.1221,-5.1498,-1.4736,3
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.3791,0.0775,0.3545,0.1865,0.5717,3
spline_surface,0.4,rmse,0.7235,0.1301,0.6678,0.4005,1.0466,3
spline_surface,0.4,snr,-3.761,1.1264,-3.2061,-6.5592,-0.9628,3
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.4447,0.0053,0.4464,0.4316,0.4579,3
